DATE_TIME,NOX
2022-06-02,17.272554258505505
2022-06-03,65.12032934029897
2022-06-04,15.692281712185252
2022-06-05,18.080608248710632
2022-06-06,61.95006279150645
2022-06-07,25.044362425804138
2022-06-08,45.31985020637512
2022-06-09,50.86627507209778
2022-06-10,34.51697065432867
2022-06-11,94.47804101308186
2022-06-12,102.23029160499573
2022-06-13,25.81169581413269
2022-06-14,55.90359152918277
2022-06-15,59.471170941988625
2022-06-16,73.63417824109395
2022-06-17,43.14955393473307
2022-06-18,62.08702504634857
2022-06-19,67.45346264044444
2022-06-20,79.9837376276652
2022-06-21,67.58434549967448
2022-06-22,91.98597939809163
2022-06-23,52.82043341795603
2022-06-24,40.92237949371338
2022-06-25,33.86678731441498
2022-06-26,36.45652097463608
2022-06-27,30.02565010388692
